suicides/100k pop,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,thinness 5-9 years,Income composition of resources,Schooling,HDI for year,gdp_per_capita ($)
8.27,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
5.38,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
5.01,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
3.94,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
3.58,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
3.27,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
3.1,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
3.04,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
2.9,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
2.28,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
0.89,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
0.0,developing,76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,494.358832,1.5,0.725,12.5,-1.181339799,-0.679694698
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
0.0,developing,76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,4114.136545,1.6,0.721,12.2,1.83e-15,-0.678256186
12.15,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
9.81,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
9.18,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
8.42,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
7.24,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
4.93,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
4.82,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
4.49,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
3.84,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
3.09,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
2.67,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
0.41,developing,75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,0.713,12.0,1.83e-15,-0.663614186
18.88,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
7.66,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
6.25,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
5.23,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
5.22,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
4.63,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
