year,sex,age,suicides/100k pop,HDI for year,gdp_per_capita ($),generation
1987,male,15-24 years,6.71,0.793665815,796,Generation X
1987,male,35-54 years,5.19,0.793665815,796,Silent
1987,female,15-24 years,4.83,0.793665815,796,Generation X
1987,male,75+ years,4.59,0.793665815,796,G.I. Generation
1987,male,25-34 years,3.28,0.793665815,796,Boomers
1987,female,75+ years,2.81,0.793665815,796,G.I. Generation
1987,female,35-54 years,2.15,0.793665815,796,Silent
1987,female,25-34 years,1.56,0.793665815,796,Boomers
1987,male,55-74 years,0.73,0.793665815,796,G.I. Generation
1987,female,5-14 years,0,0.793665815,796,Generation X
1987,female,55-74 years,0,0.793665815,796,G.I. Generation
1987,male,5-14 years,0,0.793665815,796,Generation X
1988,female,75+ years,5.49,0.793665815,769,G.I. Generation
1988,male,15-24 years,5.33,0.793665815,769,Generation X
1988,male,75+ years,4.48,0.793665815,769,G.I. Generation
1988,male,35-54 years,4.46,0.793665815,769,Silent
1988,male,55-74 years,2.85,0.793665815,769,G.I. Generation
1988,female,15-24 years,2.71,0.793665815,769,Generation X
1988,female,55-74 years,2.03,0.793665815,769,G.I. Generation
1988,female,25-34 years,1.91,0.793665815,769,Boomers
1988,male,25-34 years,1.79,0.793665815,769,Boomers
1988,female,35-54 years,1.41,0.793665815,769,Silent
1988,female,5-14 years,0,0.793665815,769,Generation X
1988,male,5-14 years,0,0.793665815,769,Generation X
1989,male,75+ years,8.89,0.793665815,833,G.I. Generation
1989,male,25-34 years,6.35,0.793665815,833,Boomers
1989,male,35-54 years,4.71,0.793665815,833,Silent
1989,male,55-74 years,4.22,0.793665815,833,G.I. Generation
1989,male,15-24 years,3.71,0.793665815,833,Generation X
1989,female,35-54 years,2.43,0.793665815,833,Silent
1989,female,15-24 years,1.67,0.793665815,833,Generation X
1989,female,25-34 years,0.75,0.793665815,833,Boomers
1989,female,55-74 years,0.67,0.793665815,833,G.I. Generation
1989,female,5-14 years,0,0.793665815,833,Generation X
1989,female,75+ years,0,0.793665815,833,G.I. Generation
1989,male,5-14 years,0,0.793665815,833,Generation X
1992,male,35-54 years,3.49,0.793665815,251,Boomers
1992,male,15-24 years,3.41,0.793665815,251,Generation X
1992,male,55-74 years,3.13,0.793665815,251,Silent
1992,male,25-34 years,2.85,0.793665815,251,Boomers
1992,female,15-24 years,2.39,0.793665815,251,Generation X
1992,female,25-34 years,1.5,0.793665815,251,Boomers
1992,female,35-54 years,0.62,0.793665815,251,Boomers
1992,female,55-74 years,0.61,0.793665815,251,Silent
1992,female,5-14 years,0,0.793665815,251,Millenials
1992,female,75+ years,0,0.793665815,251,G.I. Generation
1992,male,5-14 years,0,0.793665815,251,Millenials
1992,male,75+ years,0,0.793665815,251,G.I. Generation
1993,male,15-24 years,7.4,0.793665815,437,Generation X
1993,male,55-74 years,4.24,0.793665815,437,Silent
1993,male,75+ years,4.13,0.793665815,437,G.I. Generation
1993,male,25-34 years,3.91,0.793665815,437,Boomers
1993,female,15-24 years,3.51,0.793665815,437,Generation X
1993,male,35-54 years,2.85,0.793665815,437,Boomers
1993,female,25-34 years,2.67,0.793665815,437,Boomers
1993,female,35-54 years,2.11,0.793665815,437,Boomers
1993,female,55-74 years,1.18,0.793665815,437,Silent
1993,female,5-14 years,0.29,0.793665815,437,Millenials
1993,male,5-14 years,0.27,0.793665815,437,Millenials
1993,female,75+ years,0,0.793665815,437,G.I. Generation
1994,male,75+ years,8.13,0.793665815,697,G.I. Generation
1994,male,55-74 years,6.42,0.793665815,697,Silent
1994,female,75+ years,5.01,0.793665815,697,G.I. Generation
1994,male,25-34 years,2.59,0.793665815,697,Boomers
1994,male,35-54 years,2.48,0.793665815,697,Boomers
1994,male,15-24 years,2.48,0.793665815,697,Generation X
1994,female,15-24 years,2.12,0.793665815,697,Generation X
1994,female,25-34 years,1.53,0.793665815,697,Boomers
1994,female,35-54 years,0.58,0.793665815,697,Boomers
1994,female,55-74 years,0.57,0.793665815,697,Silent
1994,male,5-14 years,0.27,0.793665815,697,Millenials
1994,female,5-14 years,0,0.793665815,697,Millenials
1995,male,25-34 years,5.58,0.619,835,Generation X
1995,male,55-74 years,5.06,0.619,835,Silent
1995,female,75+ years,4.9,0.619,835,G.I. Generation
1995,female,15-24 years,4.59,0.619,835,Generation X
1995,male,15-24 years,4.56,0.619,835,Generation X
1995,male,75+ years,3.98,0.619,835,G.I. Generation
1995,male,35-54 years,3.72,0.619,835,Boomers
1995,female,25-34 years,2.65,0.619,835,Generation X
1995,female,35-54 years,2.24,0.619,835,Boomers
1995,male,5-14 years,1.59,0.619,835,Millenials
1995,female,55-74 years,1.11,0.619,835,Silent
1995,female,5-14 years,0.57,0.619,835,Millenials
1996,male,75+ years,7.87,0.793665815,1127,G.I. Generation
1996,male,15-24 years,6.98,0.793665815,1127,Generation X
1996,male,25-34 years,5.95,0.793665815,1127,Generation X
1996,female,15-24 years,5.56,0.793665815,1127,Generation X
1996,female,75+ years,4.85,0.793665815,1127,G.I. Generation
1996,female,25-34 years,3.73,0.793665815,1127,Generation X
1996,male,35-54 years,3.16,0.793665815,1127,Boomers
1996,female,35-54 years,2.49,0.793665815,1127,Boomers
1996,male,55-74 years,1.67,0.793665815,1127,Silent
1996,female,55-74 years,0.55,0.793665815,1127,Silent
1996,male,5-14 years,0.53,0.793665815,1127,Millenials
1996,female,5-14 years,0.28,0.793665815,1127,Millenials
1997,male,25-34 years,15.25,0.793665815,793,Generation X
1997,male,15-24 years,13.5,0.793665815,793,Generation X
1997,male,75+ years,11.81,0.793665815,793,G.I. Generation
1997,male,35-54 years,7.88,0.793665815,793,Boomers
1997,female,15-24 years,7.14,0.793665815,793,Generation X
1997,male,55-74 years,6.66,0.793665815,793,Silent
1997,female,25-34 years,5.84,0.793665815,793,Generation X
1997,female,75+ years,4.75,0.793665815,793,G.I. Generation
1997,female,35-54 years,1.89,0.793665815,793,Boomers
1997,female,5-14 years,1.66,0.793665815,793,Millenials
1997,male,5-14 years,1.05,0.793665815,793,Millenials
1997,female,55-74 years,0,0.793665815,793,Silent
1998,male,75+ years,11.63,0.793665815,899,G.I. Generation
1998,male,15-24 years,10.85,0.793665815,899,Generation X
1998,female,15-24 years,10.83,0.793665815,899,Generation X
1998,male,25-34 years,10.82,0.793665815,899,Generation X
1998,male,35-54 years,7.47,0.793665815,899,Boomers
1998,male,55-74 years,4.9,0.793665815,899,Silent
1998,female,25-34 years,3.63,0.793665815,899,Generation X
1998,female,55-74 years,3.19,0.793665815,899,Silent
1998,female,35-54 years,2.42,0.793665815,899,Boomers
1998,male,5-14 years,0.51,0.793665815,899,Millenials
1998,female,5-14 years,0.27,0.793665815,899,Millenials
1998,female,75+ years,0,0.793665815,899,G.I. Generation
1999,male,75+ years,11.58,0.793665815,1127,G.I. Generation
1999,male,15-24 years,9.58,0.793665815,1127,Generation X
1999,female,75+ years,9.43,0.793665815,1127,G.I. Generation
1999,male,35-54 years,7.93,0.793665815,1127,Boomers
1999,male,25-34 years,7.84,0.793665815,1127,Generation X
1999,male,55-74 years,7.56,0.793665815,1127,Silent
1999,female,15-24 years,6.4,0.793665815,1127,Generation X
1999,female,25-34 years,4.7,0.793665815,1127,Generation X
1999,female,55-74 years,3.18,0.793665815,1127,Silent
1999,female,35-54 years,1.34,0.793665815,1127,Boomers
1999,female,5-14 years,0.27,0.793665815,1127,Millenials
1999,male,5-14 years,0,0.793665815,1127,Millenials
2000,male,25-34 years,7.33,0.656,1299,Generation X
2000,male,55-74 years,5.64,0.656,1299,Silent
2000,female,75+ years,5.29,0.656,1299,G.I. Generation
2000,male,75+ years,4.02,0.656,1299,G.I. Generation
2000,female,15-24 years,2.27,0.656,1299,Generation X
2000,male,15-24 years,2.08,0.656,1299,Generation X
2000,female,35-54 years,1.51,0.656,1299,Boomers
2000,female,25-34 years,1.22,0.656,1299,Generation X
2000,male,35-54 years,1.07,0.656,1299,Boomers
2000,male,5-14 years,0.27,0.656,1299,Millenials
2000,female,5-14 years,0,0.656,1299,Millenials
2000,female,55-74 years,0,0.656,1299,Silent
2001,male,25-34 years,10.65,0.793665815,1451,Generation X
2001,male,35-54 years,8.98,0.793665815,1451,Boomers
2001,male,55-74 years,5.59,0.793665815,1451,Silent
2001,female,75+ years,4.23,0.793665815,1451,Silent
2001,male,15-24 years,3.91,0.793665815,1451,Millenials
2001,female,15-24 years,3.32,0.793665815,1451,Millenials
2001,female,35-54 years,3.24,0.793665815,1451,Boomers
2001,male,75+ years,3.22,0.793665815,1451,Silent
2001,female,55-74 years,3.16,0.793665815,1451,Silent
2001,male,5-14 years,1.87,0.793665815,1451,Millenials
2001,female,25-34 years,1.8,0.793665815,1451,Generation X
2001,female,5-14 years,0.65,0.793665815,1451,Millenials
2002,male,75+ years,12.9,0.793665815,1573,Silent
2002,male,25-34 years,11.15,0.793665815,1573,Generation X
2002,male,35-54 years,9.16,0.793665815,1573,Boomers
2002,male,55-74 years,6.56,0.793665815,1573,Silent
2002,male,15-24 years,5.7,0.793665815,1573,Millenials
2002,female,15-24 years,5.07,0.793665815,1573,Millenials
2002,female,35-54 years,4,0.793665815,1573,Boomers
2002,female,25-34 years,3.13,0.793665815,1573,Generation X
2002,female,75+ years,2.11,0.793665815,1573,Silent
2002,female,55-74 years,2.09,0.793665815,1573,Silent
2002,female,5-14 years,0.33,0.793665815,1573,Millenials
2002,male,5-14 years,0.31,0.793665815,1573,Millenials
2003,female,75+ years,12.22,0.793665815,2021,Silent
2003,male,55-74 years,7.94,0.793665815,2021,Silent
2003,male,35-54 years,7.25,0.793665815,2021,Boomers
2003,male,15-24 years,5.49,0.793665815,2021,Millenials
2003,female,15-24 years,4.93,0.793665815,2021,Millenials
2003,female,55-74 years,4.6,0.793665815,2021,Silent
2003,male,25-34 years,4.38,0.793665815,2021,Generation X
2003,female,25-34 years,4.04,0.793665815,2021,Generation X
2003,female,35-54 years,3.41,0.793665815,2021,Boomers
2003,male,75+ years,3.06,0.793665815,2021,Silent
2003,male,5-14 years,1.28,0.793665815,2021,Millenials
2003,female,5-14 years,0,0.793665815,2021,Millenials
2004,male,75+ years,11.26,0.793665815,2544,Silent
2004,male,35-54 years,9.95,0.793665815,2544,Boomers
2004,male,25-34 years,7.85,0.793665815,2544,Generation X
2004,female,15-24 years,6.84,0.793665815,2544,Millenials
2004,male,15-24 years,6.63,0.793665815,2544,Millenials
2004,female,75+ years,5.89,0.793665815,2544,Silent
2004,female,25-34 years,4.95,0.793665815,2544,Generation X
2004,male,55-74 years,4.83,0.793665815,2544,Silent
2004,female,35-54 years,4.34,0.793665815,2544,Boomers
2004,female,55-74 years,1.47,0.793665815,2544,Silent
2004,female,5-14 years,1.05,0.793665815,2544,Millenials
2004,male,5-14 years,0.33,0.793665815,2544,Millenials
2005,female,15-24 years,0,0.695,2931,Millenials
2005,female,25-34 years,0,0.695,2931,Generation X
2005,female,35-54 years,0,0.695,2931,Boomers
2005,female,5-14 years,0,0.695,2931,Millenials
2005,female,55-74 years,0,0.695,2931,Silent
2005,female,75+ years,0,0.695,2931,Silent
2005,male,15-24 years,0,0.695,2931,Millenials
2005,male,25-34 years,0,0.695,2931,Generation X
2005,male,35-54 years,0,0.695,2931,Boomers
2005,male,5-14 years,0,0.695,2931,Millenials
2005,male,55-74 years,0,0.695,2931,Silent
2005,male,75+ years,0,0.695,2931,Silent
2006,female,15-24 years,0,0.793665815,3235,Millenials
2006,female,25-34 years,0,0.793665815,3235,Generation X
2006,female,35-54 years,0,0.793665815,3235,Boomers
2006,female,5-14 years,0,0.793665815,3235,Millenials
2006,female,55-74 years,0,0.793665815,3235,Silent
2006,female,75+ years,0,0.793665815,3235,Silent
2006,male,15-24 years,0,0.793665815,3235,Millenials
2006,male,25-34 years,0,0.793665815,3235,Generation X
2006,male,35-54 years,0,0.793665815,3235,Boomers
2006,male,5-14 years,0,0.793665815,3235,Millenials
2006,male,55-74 years,0,0.793665815,3235,Silent
2006,male,75+ years,0,0.793665815,3235,Silent
2007,male,75+ years,18.88,0.793665815,3863,Silent
2007,male,35-54 years,7.66,0.793665815,3863,Boomers
2007,male,55-74 years,6.25,0.793665815,3863,Silent
2007,female,75+ years,5.23,0.793665815,3863,Silent
2007,male,25-34 years,5.22,0.793665815,3863,Generation X
2007,female,15-24 years,4.63,0.793665815,3863,Millenials
2007,male,15-24 years,4.51,0.793665815,3863,Millenials
2007,female,25-34 years,4.36,0.793665815,3863,Generation X
2007,female,55-74 years,4.07,0.793665815,3863,Silent
2007,female,35-54 years,3.57,0.793665815,3863,Boomers
2007,male,5-14 years,1.47,0.793665815,3863,Generation Z
2007,female,5-14 years,0,0.793665815,3863,Generation Z
2008,male,25-34 years,12.15,0.793665815,4672,Generation X
2008,male,35-54 years,9.81,0.793665815,4672,Boomers
2008,male,55-74 years,9.18,0.793665815,4672,Silent
2008,female,75+ years,8.42,0.793665815,4672,Silent
2008,female,15-24 years,7.24,0.793665815,4672,Millenials
2008,female,25-34 years,4.93,0.793665815,4672,Generation X
2008,female,35-54 years,4.82,0.793665815,4672,Boomers
2008,male,75+ years,4.49,0.793665815,4672,Silent
2008,male,15-24 years,3.84,0.793665815,4672,Millenials
2008,female,55-74 years,3.09,0.793665815,4672,Silent
2008,male,5-14 years,2.67,0.793665815,4672,Generation Z
2008,female,5-14 years,0.41,0.793665815,4672,Generation Z
2009,female,15-24 years,0,0.793665815,4387,Millenials
2009,female,25-34 years,0,0.793665815,4387,Generation X
2009,female,35-54 years,0,0.793665815,4387,Boomers
2009,female,5-14 years,0,0.793665815,4387,Generation Z
2009,female,55-74 years,0,0.793665815,4387,Silent
2009,female,75+ years,0,0.793665815,4387,Silent
2009,male,15-24 years,0,0.793665815,4387,Millenials
2009,male,25-34 years,0,0.793665815,4387,Generation X
2009,male,35-54 years,0,0.793665815,4387,Boomers
2009,male,5-14 years,0,0.793665815,4387,Generation Z
2009,male,55-74 years,0,0.793665815,4387,Silent
2009,male,75+ years,0,0.793665815,4387,Silent
2010,male,55-74 years,8.27,0.722,4359,Silent
2010,male,35-54 years,5.38,0.722,4359,Generation X
2010,male,25-34 years,5.01,0.722,4359,Generation X
2010,male,75+ years,3.94,0.722,4359,Silent
2010,male,15-24 years,3.58,0.722,4359,Millenials
2010,female,25-34 years,3.27,0.722,4359,Generation X
2010,female,75+ years,3.1,0.722,4359,Silent
2010,female,35-54 years,3.04,0.722,4359,Generation X
2010,female,55-74 years,2.9,0.722,4359,Silent
2010,female,15-24 years,2.28,0.722,4359,Millenials
2010,female,5-14 years,0.89,0.722,4359,Generation Z
2010,male,5-14 years,0,0.722,4359,Generation Z
1985,female,15-24 years,0,0.793665815,3850,Generation X
1985,female,25-34 years,0,0.793665815,3850,Boomers
1985,female,35-54 years,0,0.793665815,3850,Silent
1985,female,5-14 years,0,0.793665815,3850,Generation X
1985,female,55-74 years,0,0.793665815,3850,G.I. Generation
1985,female,75+ years,0,0.793665815,3850,G.I. Generation
1985,male,15-24 years,0,0.793665815,3850,Generation X
1985,male,25-34 years,0,0.793665815,3850,Boomers
1985,male,35-54 years,0,0.793665815,3850,Silent
1985,male,5-14 years,0,0.793665815,3850,Generation X
1985,male,55-74 years,0,0.793665815,3850,G.I. Generation
1985,male,75+ years,0,0.793665815,3850,G.I. Generation
1986,female,15-24 years,0,0.793665815,4740,Generation X
1986,female,25-34 years,0,0.793665815,4740,Boomers
1986,female,35-54 years,0,0.793665815,4740,Silent
1986,female,5-14 years,0,0.793665815,4740,Generation X
1986,female,55-74 years,0,0.793665815,4740,G.I. Generation
1986,female,75+ years,0,0.793665815,4740,G.I. Generation
1986,male,15-24 years,0,0.793665815,4740,Generation X
1986,male,25-34 years,0,0.793665815,4740,Boomers
1986,male,35-54 years,0,0.793665815,4740,Silent
1986,male,5-14 years,0,0.793665815,4740,Generation X
1986,male,55-74 years,0,0.793665815,4740,G.I. Generation
1986,male,75+ years,0,0.793665815,4740,G.I. Generation
1987,female,15-24 years,0,0.793665815,5595,Generation X
1987,female,25-34 years,0,0.793665815,5595,Boomers
1987,female,35-54 years,0,0.793665815,5595,Silent
1987,female,5-14 years,0,0.793665815,5595,Generation X
1987,female,55-74 years,0,0.793665815,5595,G.I. Generation
1987,female,75+ years,0,0.793665815,5595,G.I. Generation
1987,male,15-24 years,0,0.793665815,5595,Generation X
1987,male,25-34 years,0,0.793665815,5595,Boomers
1987,male,35-54 years,0,0.793665815,5595,Silent
1987,male,5-14 years,0,0.793665815,5595,Generation X
1987,male,55-74 years,0,0.793665815,5595,G.I. Generation
1987,male,75+ years,0,0.793665815,5595,G.I. Generation
1988,female,15-24 years,0,0.793665815,6693,Generation X
1988,female,25-34 years,0,0.793665815,6693,Boomers
1988,female,35-54 years,0,0.793665815,6693,Silent
1988,female,5-14 years,0,0.793665815,6693,Generation X
1988,female,55-74 years,0,0.793665815,6693,G.I. Generation
1988,female,75+ years,0,0.793665815,6693,G.I. Generation
1988,male,15-24 years,0,0.793665815,6693,Generation X
1988,male,25-34 years,0,0.793665815,6693,Boomers
1988,male,35-54 years,0,0.793665815,6693,Silent
1988,male,5-14 years,0,0.793665815,6693,Generation X
1988,male,55-74 years,0,0.793665815,6693,G.I. Generation
1988,male,75+ years,0,0.793665815,6693,G.I. Generation
1989,female,15-24 years,0,0.793665815,7407,Generation X
1989,female,25-34 years,0,0.793665815,7407,Boomers
1989,female,35-54 years,0,0.793665815,7407,Silent
1989,female,5-14 years,0,0.793665815,7407,Generation X
1989,female,55-74 years,0,0.793665815,7407,G.I. Generation
1989,female,75+ years,0,0.793665815,7407,G.I. Generation
1989,male,15-24 years,0,0.793665815,7407,Generation X
1989,male,25-34 years,0,0.793665815,7407,Boomers
1989,male,35-54 years,0,0.793665815,7407,Silent
1989,male,5-14 years,0,0.793665815,7407,Generation X
1989,male,55-74 years,0,0.793665815,7407,G.I. Generation
1989,male,75+ years,0,0.793665815,7407,G.I. Generation
1990,male,35-54 years,17.24,0.793665815,7744,Silent
1990,female,15-24 years,0,0.793665815,7744,Generation X
1990,female,25-34 years,0,0.793665815,7744,Boomers
1990,female,35-54 years,0,0.793665815,7744,Silent
1990,female,5-14 years,0,0.793665815,7744,Generation X
1990,female,55-74 years,0,0.793665815,7744,G.I. Generation
1990,female,75+ years,0,0.793665815,7744,G.I. Generation
1990,male,15-24 years,0,0.793665815,7744,Generation X
1990,male,25-34 years,0,0.793665815,7744,Boomers
1990,male,5-14 years,0,0.793665815,7744,Generation X
1990,male,55-74 years,0,0.793665815,7744,G.I. Generation
